country,improvement,region,yr_2001,yr_2002,yr_2003,yr_2004,yr_2005,yr_2006,yr_2007,yr_2008,yr_2009,yr_2010,yr_2011,yr_2012,yr_2013,yr_2014,yr_2015,yr_2016,yr_2017,yr_2018
Venezuela (Bolivarian Republic of),583.87,South/Latin America,0.16399999999999998,0.163,0.168,0.152,0.131,0.105,0.084,0.06,0.04,0.031,0.031,0.037000000000000005,0.048,0.064,0.095,0.13699999999999998,0.18,0.212
Azerbaijan,NA,Asia & Pacific,0.23,0.18600000000000003,0.14800000000000002,0.114,0.08199999999999999,0.055,0.037000000000000005,0.027999999999999997,0.025,0.025,NA,NA,NA,NA,NA,NA,NA,NA
Belarus,NA,Europe,NA,0.026000000000000002,0.032,0.037000000000000005,0.036000000000000004,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bosnia and Herzegovina,NA,Europe,0.044000000000000004,0.047,0.045,0.040999999999999995,0.035,0.032,0.028999999999999998,0.027999999999999997,0.026000000000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brazil,NA,South/Latin America,0.11900000000000001,0.106,0.087,0.069,0.055999999999999994,0.046,0.039,0.032,0.027000000000000003,NA,NA,NA,NA,NA,NA,NA,NA,NA
Croatia,NA,Europe,0.10400000000000001,0.078,0.057999999999999996,0.044000000000000004,0.035,0.028999999999999998,NA,NA,NA,NA,0.025,0.026000000000000002,0.025,NA,NA,NA,NA,NA
Kazakhstan,NA,Asia & Pacific,0.057999999999999996,0.055999999999999994,0.057,0.059000000000000004,0.061,0.059000000000000004,0.052000000000000005,0.043,0.038,0.034,0.031,0.027000000000000003,NA,NA,NA,NA,NA,NA
Latvia,NA,Europe,0.053,0.045,0.036000000000000004,0.028999999999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Russian Federation,NA,Europe,0.051,0.044000000000000004,0.037000000000000005,0.031,0.026000000000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sudan,NA,Arab States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.235,0.225,0.21,0.201,0.19899999999999998,0.201
Ukraine,NA,Europe,0.045,0.036000000000000004,0.027999999999999997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.033,0.035
Uruguay,NA,South/Latin America,0.042,0.040999999999999995,0.040999999999999995,0.042,0.043,0.043,0.04,0.035,0.03,0.027000000000000003,NA,NA,NA,NA,NA,NA,NA,NA
